"permutations";"#UUIDs";"#classes";"#clone_configs"
"12_8_14_7_9_10_13_6_16_11_15_4_1_5_3_2";"11231";"5";"114"
"11_14_12_8_10_1_15_7_2_6_9_16_5_3_4_13";"11247";"5";"114"
"13_11_8_12_3_10_16_15_5_6_2_14_1_7_4_9";"11325";"5";"114"
"12_9_2_6_11_1_10_13_16_7_4_8_15_5_3_14";"11407";"5";"114"
"5_8_14_11_12_3_6_7_13_9_4_15_1_10_2_16";"11251";"5";"114"
"8_7_1_13_15_4_11_10_3_16_12_5_2_9_14_6";"11234";"5";"114"
"3_7_14_6_16_12_15_13_10_4_11_2_5_1_9_8";"11320";"5";"114"
"4_8_9_5_2_15_14_16_3_11_1_12_7_10_6_13";"11322";"6";"114"
"11_12_1_14_9_10_15_8_5_3_13_4_6_2_7_16";"11364";"5";"114"
"13_5_1_6_4_11_15_16_8_7_3_10_9_2_14_12";"11354";"5";"114"
"4_2_6_10_7_15_1_5_11_12_8_14_13_9_3_16";"11510";"6";"114"
"12_10_15_7_9_13_5_4_8_1_11_14_3_6_2_16";"11411";"5";"114"
"12_10_9_16_14_3_2_8_5_15_11_4_7_6_13_1";"11418";"5";"114"
"10_7_15_6_2_9_1_5_11_13_3_12_4_14_16_8";"11337";"5";"114"
"11_2_3_1_4_5_13_9_16_8_7_6_14_12_15_10";"11524";"5";"114"
"4_1_13_6_3_11_10_7_16_5_9_14_8_2_12_15";"11582";"5";"114"
"11_7_5_9_16_4_12_10_3_1_14_15_2_6_13_8";"11283";"5";"114"
"10_6_4_14_9_8_12_11_1_5_15_3_13_7_2_16";"11433";"6";"114"
"16_5_8_10_6_12_4_14_1_2_3_9_13_7_15_11";"11240";"5";"114"
"11_6_15_8_4_7_13_9_14_5_16_3_10_1_2_12";"11226";"5";"114"
"8_14_12_9_4_10_3_15_6_5_13_11_1_7_2_16";"11274";"5";"114"
"11_6_15_9_1_10_16_3_12_4_2_8_13_14_5_7";"11218";"5";"114"
"7_16_10_1_15_8_11_9_3_12_5_2_4_14_6_13";"11216";"5";"114"
"2_13_15_9_6_16_4_10_11_8_7_5_3_12_1_14";"11325";"5";"114"
