"permutations";"#UUIDs";"#classes";"#clone_configs"
"14_10_16_13_15_5_1_4_8_6";"12106";"2";"20"
"1_3_5_15_7_9_2_10_12_13_14_11_6_4";"12119";"2";"28"
"5_2_14_7_11_9_4_16_1_6";"12433";"2";"20"
"3_9_1_5";"10784";"1";"8"
"15_7_16_6_12_10_9_4_8_1_14_11_5_13_2";"12344";"2";"30"
"1_2_6_11_4_13_3_15_7_10_14_5_8";"11941";"2";"26"
"1_9_4";"11100";"2";"6"
"3_13_4_1_12_11_9";"11588";"1";"14"
"5_11_6_10_7_1_13_9_2_8_14_15_4";"12056";"2";"26"
"8_9_12_2_1";"11603";"0";"0"
"8_16_4_1_12_3_5_11_2_9_13_14_7_6";"12064";"2";"28"
"7_5_1_8_15_9_12";"11611";"0";"0"
"4_3_5_9_13_1_12";"11597";"1";"14"
"13_16_5_8_11_15_2_1_6_14_7_12";"11954";"2";"24"
"14_13_1_4_15_9_7_16_11_10_2_3_6_8_5";"12208";"2";"30"
"6_13_8_1";"9743";"0";"0"
"1_12_14_2_3_15_8";"12603";"2";"14"
"5_10_1_9";"9581";"0";"0"
"3_1";"9344";"1";"4"
"13_9_1_15_5_10_12_8_16_6_3_14_2_4";"12180";"2";"28"
"16_3_12_14_10_5_13_2_15_7_4_1";"12551";"2";"24"
"1_15_3_10";"11469";"2";"8"
"12_11_6_15_4_10_3_1_9_7_5_2_16_13";"12384";"2";"28"
"4_16_5_1_6";"11559";"1";"10"
"10_9_1";"7593";"0";"0"
"8_12_9_5_15_2_11_10_14_4_13_3_1_16";"12074";"2";"28"
"1";"6050";"0";"0"
"15_4_6_9_11_12_10_2_1_3_16_7";"12268";"2";"24"
"16_1_15_12_13";"11589";"0";"0"
"1";"6050";"0";"0"
"6_16_7_12_1_2_9_8_14_11";"11634";"2";"20"
"1";"6050";"0";"0"
"1_2_5_13_3_11_6_12_14_16_8_10_9_7_15";"12172";"2";"30"
"10_14_7_8_3_1_15_13_16_2_12_4_6";"12910";"2";"26"
"13_14_6_5_12_15_4_3_7_16_8_11_9_2_1";"12141";"2";"30"
"6_12_13_16_14_9_11_4_10_2_5_1_7_15";"12074";"2";"28"
"1_14_2";"9556";"0";"0"
"16_7_8_1_2";"9843";"0";"0"
"2_6_7_3_1_16_5_10_4_11";"12798";"2";"20"
"1";"6050";"0";"0"
"1_9_2";"7499";"0";"0"
"13_11_9_14_2_1_6_8_3_15_5_4_12";"12008";"2";"26"
"8_11_1_3_2_13_10_9_5";"11924";"2";"18"
"7_1_5_14";"9764";"0";"0"
"6_1";"8281";"0";"0"
"4_3_16_7_6_10_1_14_2_13_9_11_15";"11650";"1";"26"
"10_3_8_13_4_1";"12465";"2";"12"
"14_15_9_7_8_12_10_3_6_11_13_1_5";"12059";"2";"26"
"2_15_12_16_13_5_3_4_8_9_7_14_11_6_1";"12591";"2";"30"
"11_14_2_1_3_7_8";"11215";"1";"14"
"5_12_14_1";"11626";"0";"0"
"1_2_13_16_11_3_9_7";"12231";"2";"16"
"1_7_4_12";"11477";"2";"8"
"12_10_6_4_15_8_2_11_1_16_9";"12755";"2";"22"
"1";"6050";"0";"0"
"3_6_16_5_12_4_10_11_1_15";"11634";"1";"20"
"14_7_2_5_10_1_6";"9909";"0";"0"
"1_14_10_11_4_7";"11819";"2";"12"
"3_7_10_6_1_8_13_2";"11594";"1";"16"
"2_14_12_11_15_10_8_7_16_13_1_4_3_6_9";"12806";"2";"30"
"4_13_9_1_6";"11439";"1";"10"
"10_3_16_15_8_11_2_13_7_9_1_14_6";"12258";"2";"26"
"15_6_12_8_1_2_7_14_5_10";"11635";"0";"0"
"5_1";"8881";"0";"0"
"16_9_15_13_14_6_7_10_12_2_5_3_1_11_8";"12284";"2";"30"
"6_15_1_3";"11532";"2";"8"
"7_5_9_3_11_4_1_15_13_14_6";"12150";"2";"22"
"12_3_14_7_16_1_5_9_10";"12055";"2";"18"
"2_8_7_12_11_1_5";"12401";"2";"14"
"12_6_7_1_15";"11625";"0";"0"
"2_15_1_6_11_5";"11978";"2";"12"
"3_7_14_13_15_8_4_16_12_1_2_5_9_11_6";"11715";"1";"30"
"3_14_15_9_1_16_7_5_13_2_4_10_6_8";"11603";"1";"28"
"5_6_13_10_2_3_4_15_14_1";"12492";"2";"20"
"1_2";"6568";"0";"0"
"4_8_5_2_12_9_3_1_10_15_14";"11618";"1";"22"
"2_15_14_10_12_3_1_9_4_6_7_5_8_16";"12566";"2";"28"
"14_13_1_15_11_16_3_5_12_2_10_6_8";"12213";"2";"26"
"1_3_8";"10595";"2";"6"
"15_14_11_12_8_5_7_10_2_16_1_9_4_3";"12449";"2";"28"
"16_10_13_5_6_4_15_12_14_9_11_8_3_1";"12632";"2";"28"
"1_5_6_12_9_8";"11592";"0";"0"
"1_9_14";"9306";"0";"0"
"4_8_6_12_13_16_15_11_9_2_7_5_1";"11638";"1";"26"
"9_8_1_10_4_11_12_6_15_2_7_5_13_3";"12088";"2";"28"
"4_1_13_5_9";"11599";"1";"10"
"1_4_6_15";"12024";"2";"8"
"15_14_5_16_13_1_9_3";"11559";"2";"16"
"12_2_1_13_6_9_8_10_15";"11808";"0";"0"
"6_15_12_2_10_5_1_7_14_4_13_11";"12288";"2";"24"
