"permutations";"#UUIDs";"#classes";"#clone_configs"
"9_5_12_15_13_14_10_8_2_4_11_1_16_6_7_3";"12144";"2";"32"
"3_7_9_5_2_1_8_14_15_11_4_13_12_10_16_6";"11761";"1";"32"
"3_11_12_6_2_5_14_16_7_8_15_9_10_13_4_1";"11619";"1";"32"
"4_11_3_15_16_10_14_9_1_7_2_6_5_8_12_13";"11706";"1";"32"
"7_9_4_11_10_12_1_2_6_8_14_15_13_3_5_16";"12084";"2";"32"
"8_13_2_5_14_4_12_6_16_1_9_7_15_11_10_3";"12674";"2";"32"
"6_16_15_2_13_11_8_3_12_9_5_1_4_10_7_14";"12699";"2";"32"
"1_5_10_3_11_13_8_12_6_7_2_4_14_15_16_9";"12235";"2";"32"
"11_12_15_5_10_13_9_2_8_7_16_1_4_6_3_14";"11648";"1";"32"
"7_10_5_12_15_9_1_2_14_11_8_4_6_3_13_16";"12501";"2";"32"
"12_4_10_14_13_5_7_11_3_8_2_15_1_16_6_9";"12572";"2";"32"
"16_2_14_4_5_15_6_3_13_8_10_11_12_1_7_9";"12609";"2";"32"
"16_2_10_9_8_5_3_7_4_1_15_11_12_14_6_13";"12463";"2";"32"
"4_10_5_3_12_11_15_1_2_16_8_7_14_13_6_9";"11925";"1";"32"
"15_5_12_10_1_14_13_16_9_6_7_2_3_11_4_8";"12064";"2";"32"
"2_3_10_11_4_5_9_8_12_16_6_13_1_14_15_7";"12249";"2";"32"
"13_15_8_7_2_1_5_9_12_16_3_6_4_10_14_11";"12240";"2";"32"
"9_12_4_7_11_2_6_1_8_16_15_5_14_3_10_13";"11998";"2";"32"
"8_15_6_11_12_2_3_13_5_9_10_1_14_4_16_7";"12430";"2";"32"
"10_3_9_6_15_8_12_11_7_14_4_16_2_5_1_13";"12282";"2";"32"
"1_2_13_10_14_5_6_9_16_7_12_8_3_11_4_15";"12087";"2";"32"
"15_7_9_5_4_3_10_11_6_8_2_16_1_12_13_14";"12040";"2";"32"
"2_16_9_14_3_10_15_5_11_7_13_12_6_8_4_1";"12464";"2";"32"
"2_9_11_10_12_8_7_16_6_13_5_3_14_15_1_4";"12141";"2";"32"
"7_5_9_16_13_11_4_15_14_10_1_3_6_8_2_12";"12060";"2";"32"
"1_6_8_3_11_13_14_2_10_12_7_9_4_16_5_15";"12281";"2";"32"
"2_14_8_13_10_7_9_1_5_15_4_16_3_6_12_11";"12333";"2";"32"
"14_13_4_10_3_11_2_12_8_9_1_16_5_7_15_6";"12426";"2";"32"
"12_16_13_7_8_5_9_6_4_10_11_3_1_2_14_15";"12065";"2";"32"
"3_1_16_9_4_14_8_10_13_15_12_11_7_6_5_2";"11526";"1";"32"
"4_10_12_3_11_13_16_15_9_1_5_14_6_2_7_8";"11913";"1";"32"
"12_9_5_7_3_1_10_14_16_8_2_11_15_13_6_4";"12678";"2";"32"
"11_1_3_7_6_12_15_5_4_14_10_9_16_13_2_8";"11547";"1";"32"
"5_1_2_12_7_3_13_6_8_15_10_16_9_11_14_4";"12513";"2";"32"
"9_6_1_5_14_13_7_2_10_12_11_15_4_16_3_8";"12411";"2";"32"
"12_8_16_1_10_11_15_9_14_6_13_5_4_3_7_2";"12380";"2";"32"
"13_11_2_12_16_14_7_1_9_8_4_3_15_5_6_10";"12026";"2";"32"
"2_5_12_8_13_15_16_7_6_4_14_1_3_10_11_9";"12702";"2";"32"
"13_9_6_1_12_3_14_10_2_11_16_7_8_5_15_4";"12483";"2";"32"
"5_11_14_16_15_6_9_12_1_2_10_8_3_4_13_7";"11975";"2";"32"
"11_5_13_2_3_14_10_1_8_6_12_7_4_9_16_15";"11394";"1";"32"
"6_10_3_14_4_13_12_16_1_15_7_11_2_9_5_8";"12574";"2";"32"
"16_2_15_1_8_4_12_10_13_5_3_6_11_14_9_7";"12245";"2";"32"
"16_8_12_5_7_6_4_14_1_2_15_11_10_3_13_9";"12164";"2";"32"
"11_5_8_15_1_3_2_6_16_9_4_10_14_7_13_12";"11683";"1";"32"
"12_3_1_11_10_7_14_5_13_2_6_8_9_4_16_15";"12535";"2";"32"
"16_2_4_5_12_3_11_10_14_13_9_1_15_8_6_7";"12595";"2";"32"
"6_14_7_2_13_12_9_16_5_11_15_3_4_8_1_10";"12382";"2";"32"
"13_3_4_1_8_5_7_10_12_15_6_9_16_11_14_2";"12312";"2";"32"
"7_6_14_3_4_11_1_12_10_5_2_9_8_15_16_13";"12127";"2";"32"
"6_14_10_12_16_5_3_2_1_8_7_4_13_9_15_11";"12925";"2";"32"
"1_13_8_15_12_10_7_4_11_16_2_6_3_5_14_9";"12068";"2";"32"
"4_2_14_11_13_8_12_6_1_16_9_10_3_7_5_15";"11919";"1";"32"
"15_6_5_13_4_3_9_8_2_11_12_1_7_14_10_16";"12268";"2";"32"
"16_15_7_10_14_13_5_3_1_8_11_2_12_4_9_6";"12644";"2";"32"
"2_12_4_16_15_5_8_14_11_3_10_13_6_7_9_1";"12560";"2";"32"
"15_12_13_3_9_7_16_5_14_11_8_6_10_2_1_4";"12119";"2";"32"
"13_11_5_1_7_3_6_10_12_2_4_14_9_8_15_16";"12014";"2";"32"
