"permutations";"#UUIDs";"#classes";"#clone_configs"
"10_2_4_11_1_3_6_15";"11495";"6";"57"
"15_14_1_12_16_11_6_7";"11142";"5";"60"
"1_16_2_11_5_14_7";"11138";"5";"47"
"6_14_11_2_1_13_3_12_7_8_15";"11286";"5";"80"
"16_4_1_14_6_12_11_8_9_7_13_3_10_15";"11207";"5";"103"
"7_12_13_5_6_8_15_11_1_16_3";"11197";"5";"83"
"1_2_8_3";"10025";"4";"22"
"9_1_5";"9133";"3";"15"
"2_1_15_14_10_6_12_11_8_16_4";"11146";"5";"78"
"12_1_15_8_13_14_4_16_6_11_2_7_9_5_10";"11372";"5";"104"
"15_8_14_1";"9811";"3";"21"
"15_3_4_16_12_5_2_7_13_9_14_1_10_11_6";"11274";"5";"108"
"9_7_3_12_11_6_16_14_10_13_15_2_1_8_5";"11411";"5";"104"
"1_10";"7561";"2";"8"
"12_6_16_7_4_14_15_8_1_2_9";"11178";"5";"74"
"4_11_1";"10630";"5";"25"
"5_14_1_4_7_8_16_11_3_6";"11216";"5";"75"
"3_1_2_5_14_12_10_13_8_9_6_15";"11457";"5";"79"
"12_1_9_14";"11242";"5";"27"
"10_7_8_9_13_15_1_12_5";"11286";"5";"59"
"14_1";"9260";"3";"10"
"15_6_1";"9790";"3";"15"
"6_16_3_1_15_5_11_14";"11154";"5";"59"
"4_13_14_7_12_11_3_8_6_15_1_2_16";"11280";"5";"97"
"2_16_10_15_8_4_5_7_1_11_13";"11194";"5";"75"
"6_11_1";"10608";"5";"21"
"16_7_10_6_9_14_1_12_2_15_8_4_13_3";"11235";"5";"96"
"2_15_10_1";"9658";"3";"19"
"1_11_3_6";"10806";"5";"31"
"12_1";"10667";"5";"15"
"16_11_4_10_9_12_3_1_13_8_14";"11250";"5";"83"
"6_5_8_7_11_4_13_14_1_12";"11218";"5";"76"
"13_2_1_4_14_5_6_3_12";"11318";"5";"66"
"5_16_1_8_3_15_10_13_12_7";"11170";"5";"71"
"7_11_5_1_9";"10998";"5";"34"
"9_1_7_16_5_6_2";"9884";"3";"36"
"1";"6020";"2";"4"
"7_1";"9251";"3";"10"
"16_15_1_11_7_5_4_6_8_10";"11167";"5";"70"
"2_7_11_12_10_1_14_6_16_4_3_9_8_15_5";"11259";"5";"107"
"13_14_7_11_16_2_1_6_8";"11240";"5";"59"
"8_3_9_6_12_4_14_1_5";"11301";"6";"66"
"1_14";"9259";"3";"10"
"16_3_1_4";"11067";"5";"31"
"1_16_6_14_13_15_11_2_12_9";"11142";"5";"69"
"1_7_4_9_10";"10967";"5";"31"
"1";"6020";"2";"4"
"1_8_14_3_13_4_11_6_2_15_9_16_10_7";"11216";"5";"96"
"13_15_16_5_6_12_1_11";"11152";"5";"60"
"11_14_4_10_3_8_1_5";"11241";"5";"60"
"1_5_10_8_2";"9761";"3";"24"
"13_7_5_3_2_4_6_12_1_9_14_11_16_8";"11298";"5";"102"
"1_8_10_5_12_4_16_13";"11250";"6";"57"
"1_16_11_9_7_6_13_5_15_12_4_2";"11176";"5";"86"
"3_11_12_16_14_7_1_9_2_8_13_10";"11200";"5";"84"
"1_13_14_11_7_10_12_16_2_8";"11224";"5";"69"
"6_1";"8251";"2";"8"
"4_9_12_3_15_5_16_2_1_10_11";"11491";"6";"81"
"11_1";"10251";"5";"15"
"13_1_4_6_11_2";"11058";"5";"42"
"5_8_16_6_13_10_15_1_7_11";"11208";"5";"67"
"1_2_13_5";"9509";"3";"20"
"14_15_1_5";"9809";"3";"22"
"5_2_9_12_8_14_4_6_11_15_7_1_10_3";"11381";"5";"100"
"16_6_12_5_9_2_8_11_1";"11196";"5";"61"
"5_16_6_14_8_7_1_2_12";"11146";"5";"59"
"4_11_16_6_10_14_9_12_8_3_1_5_15_13";"11329";"5";"103"
"12_3_1";"10705";"5";"25"
"1_15_11_9_7_2_10_5_8";"11142";"5";"56"
"13_1_12_6_9_10_16";"11120";"5";"45"
"9_13_4_1_11_2_3_12_8_5_10";"11251";"5";"80"
"15_12_13_6_4_11_3_14_8_1_10_7_9_2_5";"11186";"5";"107"
"16_7_5_2_6_9_11_3_8_1_4_13_10_14";"11222";"5";"96"
"1";"6020";"2";"4"
"2_15_13_16_7_14_4_1_8_9_6_10_12";"11216";"5";"86"
"4_1_14";"11137";"5";"21"
"1_5_9";"9134";"3";"15"
"15_14_5_3_2_13_7_1_12_6";"11219";"5";"70"
"16_1_15_10_11";"11111";"5";"34"
"12_2_9_16_15_1_11";"11339";"5";"49"
"7_10_1";"9580";"3";"15"
"2_1_3_13_16_9_8_11";"11418";"5";"54"
"9_16_12_4_15_1_14_2_5_11_6_10_8_13";"11197";"5";"97"
"6_1_8_2_7_4_9_11_13_5";"11096";"5";"67"
"13_1_4";"10941";"5";"21"
"4_12_9_15_2_6_3_7_1_8_10_14_11_5";"11413";"5";"100"
"16_6_12_10_11_1_2_9_4_8_3_15_13";"11221";"5";"93"
"6_15_4_12_13_9_3_1_2";"11185";"5";"64"
"11_8_5_2_4_15_10_1_6";"11268";"5";"60"
"15_8_1";"9772";"3";"15"
