"permutations";"#UUIDs";"#classes";"#clone_configs"
"14_10_5_1_9_4";"23358";"1";"36"
"4_7_3_1_16_8_10_14_2_9_11_13_6_15_12";"23625";"1";"90"
"5_1_11_10_13_4_15_14_6_12_3_16_7";"23468";"1";"78"
"3_13_16_1_2_4_5_15_8_9_12_14_7";"23444";"1";"78"
"3_12_15_4_16_7_14_10_1_2_5_8_6_11";"23468";"1";"84"
"10_14_16_5_15_13_12_11_3_1_9_8_2";"23444";"1";"78"
"1_3_14_10_4_16_2_8_5_15_7_13_11_9_6";"23516";"1";"90"
"11_1_15_14_10_7_13";"22930";"1";"42"
"8_7_3_16_1_9_13_12_6_2_5_15";"23490";"1";"72"
"7_8_1_5_16_14_15_13_2";"23487";"1";"54"
"1_3_6_15_13_8_10_14_5_7";"23291";"1";"60"
"8_1";"21147";"1";"12"
"5_1_4_11_15_14_10_8_7_2";"23465";"1";"60"
"9_8_6_1_15_16_10";"23507";"1";"42"
"1";"19912";"1";"6"
"3_7_1";"21077";"1";"18"
"11_1_6_16_7_10_2_15_12";"23440";"1";"54"
"11_8_12_10_1_3_16_13_2_14_6";"23466";"1";"66"
"1";"19912";"1";"6"
"9_6_12_3_2_11_1_15_13";"23619";"1";"54"
"7_2_4_1_14_6_16_15_11_13_5_3_10_12";"23624";"1";"84"
"12_5_14_10_9_8_2_4_15_16_11_3_7_1";"23492";"1";"84"
"3_5_10_8_2_11_15_12_9_1";"23488";"1";"60"
"12_3_1_2_5_8_9_11";"23337";"1";"48"
"16_7_13_11_1_6_8";"23547";"1";"42"
"13_9_6_4_14_5_1_3";"23571";"1";"48"
"1_4_11";"23052";"1";"18"
"11_7_9_6_3_1_4_12_14_13_8_10_2_16_5";"23579";"1";"90"
"1";"19912";"1";"6"
"15_1";"21735";"1";"12"
"15_1_8_4_16_6_5_10_11_9_3";"23489";"1";"66"
"15_1_10_8_2_3_6";"23437";"1";"42"
"13_2_1_3_16_12_4_15_10_7_5_11";"23443";"1";"72"
"16_14_7_8_1";"21756";"1";"30"
"6_1";"21477";"1";"12"
"7_2_8_12_10_4_5_15_14_3_16_9_11_1_13";"23579";"1";"90"
"5_1_2_12_3_9_11_4_8_7_14_13_10";"23468";"1";"78"
"3_10_13_1_8_5_7_14_12_4_2_16";"23443";"1";"72"
"2_1_12_13_3";"23275";"1";"30"
"3_11_5_1_2";"23149";"1";"30"
"1_5_10";"22634";"1";"18"
"8_1_4";"22518";"1";"18"
"13_3_14_7_15_12_11_1";"23462";"1";"48"
"15_1";"21735";"1";"12"
"12_11_6_1_7";"23384";"1";"30"
"1";"19912";"1";"6"
"4_1_15_11";"23480";"1";"24"
"11_2_1_7";"22628";"1";"24"
"11_4_10_15_9_13_1_6";"23461";"1";"48"
"1";"19912";"1";"6"
"6_5_8_13_9_1_10_2_7";"23510";"1";"54"
"4_11_1_12_2_5_9_10_13_8_16";"23466";"1";"66"
"2_16_14_7_12_13_6_11_1_10_15_5_4_3";"23554";"1";"84"
"11_5_13_10_4_1_9_8_7_14_3_12";"23576";"1";"72"
"5_7_16_13_11_1_3_10_4_6_2_9_15_8_14";"23555";"1";"90"
"13_11_5_8_7_9_14_16_6_1_4_2_3";"23576";"1";"78"
"16_13_11_3_6_4_7_10_2_9_14_1";"23443";"1";"72"
"1";"19912";"1";"6"
"1_7_13_4";"23250";"1";"24"
"11_15_16_14_1_13_3_5_7_9_6_12_2";"23553";"1";"78"
"6_11_16_15_13_5_4_2_14_3_8_1_12";"23553";"1";"78"
"1_6_3_11_12_8_16_2_4_7_10_13_14_15_9";"23446";"1";"90"
"10_1_13";"22515";"1";"18"
