"permutations";"#UUIDs";"#classes";"#clone_configs"
"16_14_15_9_6_4_8_11_7_13_5_10_3_2_1_12";"23982";"4";"172"
"4_9_13_16_10_2_11_7_5_15_3_6_14_8_12_1";"23844";"4";"172"
"7_3_5_4_11_1_8_14_12_6_15_13_9_2_10_16";"24020";"4";"172"
"2_16_12_14_15_5_3_11_10_7_1_13_9_6_4_8";"23635";"4";"172"
"12_8_13_16_2_6_15_11_1_7_14_10_9_4_3_5";"23804";"4";"172"
"9_16_8_2_11_12_1_4_15_14_5_3_6_13_10_7";"23632";"4";"172"
"13_10_4_7_11_9_1_5_16_8_15_2_3_14_6_12";"24256";"4";"172"
"2_10_14_8_12_1_9_15_3_13_11_5_7_4_16_6";"23181";"4";"172"
"10_3_12_4_13_7_5_1_6_8_2_14_16_15_9_11";"23747";"4";"172"
"8_11_9_15_14_3_7_16_4_12_10_2_6_1_5_13";"23077";"4";"172"
"8_7_11_14_2_13_12_3_10_1_15_5_6_4_16_9";"24565";"4";"172"
"2_11_15_4_5_6_8_14_7_9_13_1_12_10_3_16";"23192";"4";"172"
"12_9_3_6_14_13_11_1_2_16_7_15_8_10_4_5";"23957";"4";"172"
"15_1_14_5_6_11_16_8_9_12_2_3_7_4_13_10";"23970";"4";"172"
"7_14_3_4_1_16_11_9_5_13_15_10_2_6_12_8";"23960";"4";"172"
"7_12_11_9_14_3_4_5_2_16_6_1_10_15_13_8";"23845";"4";"172"
"1_14_3_16_12_9_5_2_10_15_6_4_11_8_13_7";"23944";"4";"172"
"11_5_10_2_9_16_14_3_4_6_1_13_7_15_12_8";"23702";"4";"172"
"9_10_11_4_3_12_2_5_1_8_7_14_6_13_16_15";"23891";"4";"172"
"2_6_10_1_4_14_9_7_16_11_8_3_15_12_13_5";"23860";"4";"172"
"1_2_16_7_15_14_12_4_9_11_5_6_3_10_13_8";"23568";"4";"172"
"5_12_11_1_9_16_6_2_14_7_8_13_4_3_10_15";"23986";"4";"172"
"14_8_4_7_6_13_11_3_5_9_16_15_2_12_10_1";"24175";"4";"172"
"10_14_7_12_15_13_16_3_5_6_9_11_8_1_4_2";"23615";"4";"172"
"11_10_13_1_5_4_15_7_6_16_14_12_2_8_3_9";"23941";"4";"172"
"16_1_10_7_15_14_9_2_3_4_5_11_13_12_8_6";"23314";"4";"172"
"1_9_14_2_5_10_7_8_16_4_6_12_13_3_15_11";"23276";"4";"172"
"14_11_6_15_13_2_8_7_3_16_10_12_4_9_1_5";"23678";"4";"172"
"4_12_2_1_9_5_8_3_6_13_7_14_16_15_11_10";"23290";"4";"172"
"5_15_8_7_10_16_11_12_2_13_14_6_1_9_3_4";"23989";"4";"172"
"16_3_8_14_10_2_5_12_11_9_1_6_4_13_15_7";"23758";"4";"172"
"4_2_13_5_16_11_3_15_12_1_10_9_14_7_6_8";"23593";"4";"172"
"2_7_10_14_15_12_13_16_4_5_6_11_9_8_1_3";"23669";"4";"172"
"15_14_3_6_5_2_12_9_4_11_1_16_8_13_10_7";"23714";"4";"172"
"1_5_4_13_12_2_6_14_8_16_7_9_10_3_15_11";"23888";"4";"172"
"13_12_3_2_14_16_10_8_4_5_11_7_9_1_6_15";"24009";"4";"172"
"1_15_3_14_10_11_9_7_5_6_8_2_13_16_12_4";"23829";"4";"172"
"10_8_7_1_13_15_12_9_16_4_14_2_6_11_5_3";"23750";"4";"172"
"4_5_10_3_12_6_11_7_9_8_1_16_15_14_13_2";"24075";"4";"172"
"8_5_1_6_4_3_11_10_16_2_13_14_12_7_9_15";"24155";"4";"172"
"10_4_1_11_3_15_16_2_13_12_9_6_7_5_8_14";"23258";"4";"172"
"5_3_6_13_11_15_12_16_8_1_9_7_14_4_2_10";"23872";"4";"172"
"14_1_8_7_16_9_12_11_2_13_6_4_15_5_10_3";"23650";"4";"172"
"2_3_9_15_7_11_4_16_10_1_13_12_8_14_5_6";"24078";"4";"172"
"5_13_1_16_4_10_2_14_12_15_9_3_8_7_6_11";"23939";"4";"172"
"9_8_10_1_6_5_12_13_3_14_4_7_15_11_2_16";"24071";"4";"172"
"4_12_3_5_7_6_15_16_11_8_1_14_10_13_2_9";"23894";"4";"172"
"13_5_6_2_4_14_11_8_12_10_15_1_7_3_16_9";"23899";"4";"172"
"6_4_9_11_2_7_10_1_14_15_13_3_16_5_12_8";"23299";"4";"172"
"1_10_9_4_11_2_8_16_3_15_14_5_12_7_6_13";"23716";"4";"172"
"3_11_4_6_14_10_13_8_12_5_2_7_9_15_1_16";"23973";"4";"172"
"15_4_10_12_13_1_2_8_7_9_11_5_3_14_6_16";"24162";"4";"172"
"5_8_7_9_2_12_1_15_14_11_16_3_13_6_4_10";"23898";"4";"172"
"5_3_16_6_4_14_12_13_1_15_9_10_7_2_8_11";"23948";"4";"172"
"10_14_5_3_16_6_1_15_2_9_13_12_4_8_7_11";"23898";"4";"172"
"14_16_6_11_3_9_1_15_2_10_4_8_13_12_7_5";"23242";"4";"172"
"16_15_4_13_2_6_3_10_11_7_5_12_8_14_9_1";"23735";"4";"172"
"14_11_9_7_1_2_3_13_10_4_6_5_15_12_16_8";"23878";"4";"172"
"12_6_8_14_7_10_16_4_5_9_1_2_13_3_15_11";"23665";"4";"172"
"10_13_16_5_2_9_4_14_3_8_12_6_1_7_15_11";"23324";"4";"172"
"10_13_9_16_7_6_1_11_2_8_5_14_12_15_4_3";"24109";"4";"172"
"15_1_13_16_4_12_9_6_14_3_10_5_2_8_11_7";"24061";"4";"172"
"8_12_15_3_9_5_6_13_7_14_1_16_10_11_4_2";"23595";"4";"172"
"6_1_4_3_9_10_16_2_7_5_13_15_12_14_8_11";"23267";"4";"172"
"3_1_15_12_8_11_10_6_7_13_16_9_2_14_5_4";"24010";"4";"172"
"5_11_14_12_16_2_8_3_6_4_10_15_7_1_9_13";"23839";"4";"172"
"16_14_5_11_12_13_9_3_7_6_10_2_15_1_4_8";"23077";"4";"172"
"2_6_10_12_8_14_3_9_15_1_13_11_16_7_4_5";"23891";"4";"172"
"10_11_14_1_9_6_2_4_5_7_3_15_16_8_12_13";"24053";"4";"172"
"14_6_11_4_13_15_5_9_7_12_2_10_8_3_1_16";"24142";"4";"172"
"3_12_14_15_16_8_13_11_9_7_10_6_1_5_4_2";"23318";"4";"172"
"15_14_7_16_11_2_13_4_5_10_3_6_12_8_1_9";"23238";"4";"172"
"9_3_12_6_7_4_15_16_11_8_10_13_5_2_1_14";"23944";"4";"172"
"13_11_4_10_14_16_15_9_6_8_1_5_7_2_3_12";"24224";"4";"172"
