"permutations";"#UUIDs";"#classes";"#clone_configs"
"7_13_1_4_8_2_11_3_5_15";"23262";"4";"109"
"15_16_2_13_11_5_1_12_10_3_14_4_9";"23592";"4";"138"
"1_9";"20588";"4";"23"
"11_13_7_1_15_8_4_5_6_2";"22570";"4";"102"
"2_14_5_16_15_12_10_1_6_7_11_4_8";"24041";"4";"142"
"5_9_16_11_3_8_14_1_2";"23107";"4";"102"
"10_7_6_15_8_3_4_16_9_1_14_12_11";"23769";"4";"143"
"15_12_7_13_10_9_4_14_6_1_5";"23502";"4";"119"
"1_12_5_6_8_13";"23262";"4";"68"
"8_1_10_2";"21880";"4";"51"
"7_12_1";"21770";"4";"40"
"1";"18611";"4";"14"
"13_15_9_11_5_7_8_1_14";"23631";"4";"99"
"10_8_7_1_15_6_2";"23568";"4";"78"
"15_1_11_12_6";"22893";"4";"50"
"12_2_13_15_5_16_14_8_7_3_9_6_1_10";"23409";"4";"154"
"5_1_9_10";"23415";"4";"50"
"8_13_3_4_11_5_1_9";"23741";"4";"89"
"10_15_8_6_1";"23236";"4";"56"
"2_6_10_8_1_7_4_12";"22971";"4";"93"
"12_14_1_16_3";"22341";"4";"61"
"8_11_4_1_14_10_9_15_6_7_5";"23847";"4";"122"
"15_13_4_12_1_16_14";"23020";"4";"70"
"16_1_10_13_8";"22293";"4";"56"
"14_12_11_15_9_7_2_1_16_10_4_8";"23055";"4";"131"
"3_16_1_4_14_8_11_10_7_6_5_13";"23029";"4";"134"
"14_9_8_7_15_1_4_3_11_2_13_12_6";"24105";"4";"138"
"16_3_15_4_9_2_14_8_7_11_5_1_12_13_10";"23164";"4";"165"
"14_16_8_6_3_11_12_7_15_2_10_1_13_9";"23911";"4";"150"
"14_1_9_5_7_2_11_4_15_12";"23277";"4";"109"
"1";"18614";"4";"14"
"8_10_3_6_7_2_9_4_1";"23684";"4";"103"
"5_9_11_6_8_16_4_7_10_13_1_15";"23950";"4";"123"
"9_6_15_3_1_14_10_4_11_13";"23622";"4";"103"
"1_16";"19318";"4";"21"
"1";"18661";"4";"14"
"1_7_13_16_8";"22034";"4";"55"
"9_10_1_16";"22621";"4";"44"
"11_4_14_2_16_13_1_7_10_5_3_12_6";"23813";"4";"142"
"2_7_11_3_1_14_15_5_9_12_16_8";"23766";"4";"135"
"8_12_10_5_2_3_16_7_11_1_13_9_15";"23306";"4";"143"
"1_12_15_16_7_2_8";"22632";"4";"77"
"15_1_5_9_11_3_4";"23083";"4";"75"
"5_4_12_9_15_2_1_6";"23141";"4";"81"
"7_1";"18865";"4";"27"
"16_15_8_2_10_5_11_14_7_9_1";"22886";"4";"122"
"8_6_10_16_1_4";"23048";"4";"65"
"3_11_8_16_13_2_1_9_6_7_4_10_15_5_14";"24052";"4";"159"
"5_7_8_4_2_13_1";"23153";"4";"79"
"10_7_5_11_8_4_13_12_1_3";"23756";"4";"120"
"11_6_1";"22020";"4";"30"
"10_4_12_2_1_14_16_6_15_9_7_3";"24052";"4";"129"
"1";"18625";"4";"14"
"4_1_6";"20796";"4";"30"
"11_10_16_15_8_6_14_9_12_3_7_4_1";"23873";"4";"143"
"12_1_7_14_15_6_2_16_5_8_4_3_9_11";"23067";"4";"151"
"7_14_4_11_9_8_5_3_16_13_2_6_1_12";"23540";"4";"151"
"11_14_4_9_1_3_7";"23383";"4";"81"
"1";"18676";"4";"14"
"12_10_8_11_2_6_7_1_14_5";"23840";"4";"119"
"1_16";"19310";"4";"21"
"1";"18611";"4";"14"
"10_4_15_12_3_9_1_2_5_6";"22985";"4";"109"
"1_11_13";"21964";"4";"30"
"13_4_1_6_2_16_15_14_3_10_11_7";"22908";"4";"123"
"9_1_6_4_10_11";"22866";"4";"62"
"1_14_8_11_13_16_12_2_5_9_7_15";"23823";"4";"128"
"11_5_10_9_14_16_4_7_1_13_8_15";"23125";"4";"129"
"5_8_2_1";"22423";"4";"50"
"15_3_12_1_14_6_7_4_5_10_16_11";"23765";"4";"133"
"9_3_16_4_12_1_15_7_8_13";"23790";"4";"107"
"12_9_1";"22173";"4";"36"
"4_15_3_7_12_1_11_5_10";"22924";"4";"106"
"14_8_9_11_1_15";"22748";"4";"66"
"9_5_14_6_12_2_16_13_4_15_1_7_11_8";"23606";"4";"144"
"8_13_6_1_3_11_10_9_14_16_4_12_5_7";"23758";"4";"156"
"13_1_6";"21989";"4";"28"
"1_7_2";"20496";"4";"36"
"13_9_12_7_8_10_2_4_1_16_3_11_6_15";"23645";"4";"146"
"5_1";"20899";"4";"27"
"16_10_6_1_12_13_14_15_11_2_8_7_9_4";"23875";"4";"145"
"5_1_11_3_16";"23374";"4";"57"
"6_13_7_15_12_9_3_5_10_14_4_8_16_1_11";"23890";"4";"163"
"1_2_4_12_14";"22809";"4";"58"
"9_14_6_5_11_1_15_7_12_13_4_8_10_2_16";"24170";"4";"158"
"16_9_15_5_14_7_4_11_8_2_1_13_6";"23274";"4";"131"
"9_1_12";"22135";"4";"36"
"3_2_13_4_1_7_10_5_8";"23651";"4";"107"
"4_1";"20338";"4";"23"
"4_12_1";"22239";"4";"36"
"9_1_12_15_14";"23004";"4";"56"
"10_6_8_11_12_16_5_15_2_13_3_14_7_9_1";"23765";"4";"163"
"1_11";"21283";"4";"23"
"1_4_8_13_14_7_16_10_5";"23323";"4";"104"
"1_9";"20705";"4";"23"
"2_1_16_8_4_9_14";"23145";"4";"75"
"7_9_5_15_14_1_13_10_4_12";"23850";"4";"112"
"8_10_4_5_16_9_7_1_13_12";"23773";"4";"113"
"16_12_10_9_3_7_2_4_5_13_15_8_14_1_6";"23812";"4";"163"
"9_7_14_6_10_1_12_16_11_13_2_3_5";"23818";"4";"142"
"9_16_12_4_1_11_3_5_14_15_6_10";"23646";"4";"129"
"16_1_11_5_15_10_7_4_2_6_9_3";"23639";"4";"125"
"16_13_7_1";"21603";"4";"41"
"1_13_3_7_16_11_5_2_14_6_10_4_9_12";"23268";"4";"151"
"13_7_16_12_3_9_10_11_6_1_8_2_5";"23867";"4";"143"
"7_4_5_13_1_14_3_2_15_8";"23808";"4";"113"
"13_1";"21381";"4";"21"
"6_10_12_7_8_11_2_1_15_13_5";"23510";"4";"120"
"1_10";"21080";"4";"28"
"15_8_1_12_3_4_14_13_2_11_5_10_16_7";"23067";"4";"156"
"3_11_13_5_4_15_1_8_9_6_16_7_10_14_12";"23797";"4";"163"
"12_16_15_5_7_10_3_11_14_4_8_13_1_6";"23872";"4";"154"
"14_1_13_4_8_12_15_5_10_7_16_11_3_6";"23733";"4";"154"
"4_1_8_6_16_15_13_12_14_7_9";"23175";"4";"113"
"3_16_9_8_13_1_4";"22802";"4";"74"
"1_3_12_10_8_4_5_7";"23598";"4";"104"
"11_5_13_2_14_15_1_10_4";"23574";"4";"95"
"6_1_3_7_2_4_9_11_16_5";"23070";"4";"104"
"11_10_14_8_1";"22171";"4";"64"
"3_5_11_10_1_16_9_2_12_15_7_14_6_13";"23908";"4";"149"
"5_6_1_13_11_10_15_3_16";"23473";"4";"92"
"13_1_4";"22158";"4";"30"
"1_2_8";"21640";"4";"37"
"11_9_5_12_10_2_14_4_16_6_13_7_1_3_8";"22966";"4";"165"
"16_13_1_8_3_10_2_15_5_9_14_7_6_12";"23901";"4";"154"
"5_9_1";"22059";"4";"36"
"1";"18683";"4";"14"
"4_10_1_16";"22792";"4";"44"
"4_1_14_3_7";"22245";"4";"63"
"10_9_16_7_5_14_3_11_15_8_4_1_2_13";"24093";"4";"152"
"3_1_10_2_7_8_15_9_13_14_16";"23872";"4";"121"
"5_13_12_11_2_14_4_1_9";"23242";"4";"96"
"7_2_1_8";"21191";"4";"50"
"13_5_9_3_1_16_8_6";"22847";"4";"85"
"4_7_14_16_6_9_8_5_1_12_15_10_2_11";"24138";"4";"151"
"13_6_16_14_15_7_1_8_10_11_3_5_9_4";"23278";"4";"150"
"9_4_12_2_11_6_1_14_7_10_16_3_15";"23582";"4";"138"
"12_6_8_10_4_5_15_1";"23867";"4";"91"
"9_11_1_7_5";"22801";"4";"58"
"8_3_7_15_11_10_6_9_4_1_13_2_14_12";"23793";"4";"152"
"5_1_14_2_3_10_12_16_7_4_9_6_13_11";"23986";"4";"151"
"13_7_6_1_10_2_9_8_3_12";"23647";"4";"114"
"6_15_1";"21229";"4";"28"
"16_7_11_4_5_14_2_10_6_1";"23155";"4";"108"
"15_8_2_16_4_9_6_1_10_13_11";"23155";"4";"106"
"12_13_4_15_6_8_11_2_1_9_10";"24057";"4";"112"
"7_11_6_9_15_13_2_16_1_4";"22872";"4";"91"
"10_8_1_16_4_2";"22938";"4";"67"
"4_9_5_3_14_10_1_12_7_16_8_15_2_6_11";"24140";"4";"165"
"8_10_14_13_4_1_9_15";"22564";"4";"87"
"9_12_11_16_13_14_1";"23073";"4";"72"
"10_2_5_12_11_15_1";"22956";"4";"79"
"11_7_14_9_1_5_15";"23548";"4";"78"
"2_7_12_14_3_15_8_9_5_4_1_11_10";"23901";"4";"151"
"3_5_12_2_15_1_9_10_14_16";"23836";"4";"113"
