"permutations";"#UUIDs";"#classes";"#clone_configs"
"2_16_15_10_6_5_1_4_11_13_7_8_14_9_3_12";"23447";"1";"96"
"12_11_4_8_9_2_7_10_14_6_1_15_16_3_5_13";"23603";"1";"96"
"13_11_8_12_5_16_2_15_4_14_9_6_1_10_3_7";"23470";"1";"96"
"13_7_14_4_11_2_10_16_6_3_1_5_8_15_12_9";"23556";"1";"96"
"15_10_13_11_12_1_7_14_8_6_4_5_16_9_2_3";"23447";"1";"96"
"12_5_10_7_13_6_2_3_14_15_16_1_8_4_9_11";"23447";"1";"96"
"7_1_14_9_8_5_16_3_6_12_13_15_11_2_10_4";"23518";"1";"96"
"1_7_9_10_13_15_16_6_2_12_11_8_4_3_5_14";"23471";"1";"96"
"13_6_2_7_14_1_5_12_4_15_11_8_10_3_9_16";"23556";"1";"96"
"8_3_2_4_13_5_1_14_15_6_16_12_7_9_10_11";"23517";"1";"96"
"14_2_13_7_15_4_12_1_8_9_11_10_6_16_5_3";"23580";"1";"96"
"13_9_11_4_7_14_10_12_15_6_2_3_1_16_8_5";"23579";"1";"96"
"13_14_10_4_2_7_8_5_12_3_6_11_9_16_15_1";"23470";"1";"96"
"3_10_12_15_4_6_1_7_11_16_13_8_2_14_9_5";"23470";"1";"96"
"3_7_11_2_13_6_10_15_12_8_14_5_16_9_4_1";"23471";"1";"96"
"2_12_1_8_11_10_4_15_3_5_16_14_7_9_13_6";"23580";"1";"96"
"10_1_3_7_8_6_14_2_11_9_4_13_12_5_16_15";"23447";"1";"96"
"4_1_5_3_7_8_11_13_16_15_14_9_2_10_12_6";"23517";"1";"96"
"12_1_5_14_4_15_10_6_8_2_13_9_11_3_7_16";"23471";"1";"96"
"3_11_7_4_2_12_1_15_9_8_13_14_6_10_16_5";"23471";"1";"96"
"11_14_15_6_7_1_12_2_9_16_4_13_10_3_5_8";"23603";"1";"96"
"1_9_12_6_7_14_10_16_5_11_4_15_13_3_2_8";"23471";"1";"96"
"9_16_8_4_15_13_6_14_10_1_12_7_5_11_2_3";"23494";"1";"96"
"9_12_10_6_2_16_14_5_4_13_7_1_8_3_15_11";"23603";"1";"96"
"9_14_8_11_5_3_2_6_15_7_1_16_13_10_12_4";"23603";"1";"96"
"8_6_12_2_10_14_15_4_7_13_1_5_16_3_11_9";"23517";"1";"96"
"1_8_15_2_13_10_9_14_12_16_3_7_6_4_11_5";"23447";"1";"96"
"2_15_14_13_12_16_8_5_7_11_4_10_3_1_9_6";"23556";"1";"96"
"12_8_5_3_14_16_2_10_9_11_7_4_1_15_6_13";"23470";"1";"96"
"7_5_6_10_9_14_4_13_12_2_15_8_1_3_11_16";"23447";"1";"96"
"9_14_2_15_4_16_7_8_3_10_13_12_6_1_5_11";"23627";"1";"96"
"5_15_13_3_12_11_7_4_16_1_10_2_9_6_8_14";"23517";"1";"96"
"8_14_12_16_10_3_2_7_6_4_11_5_1_9_15_13";"23447";"1";"96"
"4_11_6_15_16_7_12_1_3_8_9_13_14_2_10_5";"23579";"1";"96"
"2_14_5_3_11_16_1_4_15_7_13_6_8_9_10_12";"23627";"1";"96"
"2_7_12_6_15_5_3_16_13_4_11_8_9_14_1_10";"23580";"1";"96"
"10_3_16_1_2_15_4_6_5_9_12_7_14_11_13_8";"23447";"1";"96"
"15_1_10_3_4_5_2_6_9_8_7_11_16_14_13_12";"23447";"1";"96"
"7_8_16_13_10_2_12_15_6_9_11_4_5_3_1_14";"23447";"1";"96"
"6_14_13_3_16_12_9_15_8_1_10_4_2_5_11_7";"23517";"1";"96"
"3_1_4_5_14_10_8_15_9_6_2_7_13_16_12_11";"23517";"1";"96"
"5_9_2_6_12_7_15_14_8_10_16_3_13_1_11_4";"23650";"1";"96"
"12_4_11_14_10_8_5_15_2_1_13_9_16_7_3_6";"23603";"1";"96"
"8_15_6_11_14_12_2_4_3_9_1_16_5_13_10_7";"23517";"1";"96"
"4_11_10_15_3_8_9_13_6_12_5_14_1_16_2_7";"23470";"1";"96"
"4_12_6_16_7_8_11_1_3_15_2_10_13_14_5_9";"23580";"1";"96"
"14_1_8_4_3_13_12_16_6_15_9_7_5_10_2_11";"23518";"1";"96"
"2_7_3_15_14_16_11_13_6_12_4_9_1_5_8_10";"23626";"1";"96"
"13_1_14_9_6_15_10_7_2_4_8_12_16_3_5_11";"23447";"1";"96"
"9_8_12_11_3_7_16_1_14_2_6_13_5_4_10_15";"23494";"1";"96"
"12_7_16_10_15_5_6_9_3_8_13_1_14_11_2_4";"23447";"1";"96"
